#{"t_start": 1780189401.430998, "env_id": "None"}
r,l,t
-14.365473,400,1.550987
-35.113108,280,1.746968
-37.682146,371,2.004943
-14.884154,400,2.276478
-31.043055,164,2.390878
-13.51036,400,2.6596
-12.842858,400,3.283816
-13.985447,400,3.549688
-35.489616,305,3.749011
-14.465251,400,4.0195
-29.526063,126,4.097912
-14.316029,400,4.365158
-13.545899,400,4.910624
-33.300015,240,5.079459
-13.144477,400,5.354449
-13.247232,400,5.620144
-29.296802,118,5.694737
-14.940311,400,5.960277
-29.624441,153,6.3374
-29.583139,128,6.416382
-28.089682,102,6.489541
-13.409826,400,6.750027
-13.729808,400,6.992775
-30.889546,176,7.125267
-33.116302,233,7.281435
-36.927705,349,7.513355
-32.724461,243,7.67555
-12.730631,400,8.202278
-13.26881,400,8.461596
-12.553653,400,8.720825
-12.759677,400,8.986159
-14.018113,400,9.258178
-30.870665,195,9.661006
-12.815959,400,9.928859
-11.9734,400,10.198992
-12.175223,400,10.469021
-11.295442,400,10.73084
-12.145603,400,11.260427
-11.859948,400,11.52147
-11.672416,400,11.781101
-33.875823,350,12.021795
-12.689859,400,12.283385
-31.426238,210,12.419944
-11.443389,400,12.950847
-27.649047,111,13.028513
-33.57129,280,13.217979
-11.926311,400,13.487496
-12.461431,400,13.751267
-27.890855,126,13.825996
-31.227104,223,13.995553
-27.371279,99,14.062991
-12.30256,400,14.601273
-11.366878,400,14.867102
-12.283908,400,15.132365
-11.952298,400,15.407301
-12.112552,400,15.678123
-12.178984,400,16.207262
-12.321195,400,16.48009
-11.799155,400,16.744733
-13.070286,400,17.006927
-12.400087,400,17.275595
-11.587549,400,17.816423
-11.551073,400,18.084315
-10.705904,400,18.35208
-11.425633,400,18.610554
-12.057096,400,18.875827
-11.262857,400,19.405472
90.84087,400,19.675015
-10.515309,400,19.952883
-11.237915,400,20.217625
-11.006853,400,20.514549
-9.625522,400,21.081555
89.889957,400,21.342608
-9.760083,400,21.634125
-10.703814,400,21.906945
89.839168,400,22.168226
90.165026,400,22.429846
-29.686323,213,22.841666
89.259427,400,23.112967
88.717644,400,23.381456
88.73068,400,23.642034
89.708914,400,23.900748
-10.357763,400,24.458611
90.393932,400,24.724792
-10.091762,400,24.99923
-8.819486,400,25.272053
89.396286,400,25.539459
-9.933512,400,26.0932
89.36666,400,26.348365
89.087739,400,26.612025
88.500504,400,26.877408
87.760867,400,27.142349
90.982839,400,27.659933
88.986001,400,27.928712
90.724578,400,28.193825
88.484513,400,28.455092
89.123965,400,28.709021
88.948205,400,28.98737
88.384187,400,29.51932
87.611534,400,29.783147
89.806732,400,30.054205
87.820712,400,30.326054
88.95214,400,30.590374
88.649339,400,31.145228
68.436922,307,31.32827
69.270839,275,31.523546
88.076762,400,31.771431
88.967921,400,32.029006
87.564016,400,32.558157
88.914016,400,32.809158
68.92786,281,33.004646
70.093153,259,33.174935
86.849788,400,33.448261
86.239522,400,33.710286
87.69993,400,34.24947
87.188565,400,34.526657
86.911188,400,34.804714
87.23865,400,35.081955
86.560848,400,35.346668
70.262838,259,35.542033
85.742378,400,36.095023
86.763812,400,36.370108
84.790034,400,36.623566
85.153678,400,36.882886
85.559629,400,37.140092
86.278157,400,37.697336
85.582472,400,37.968984
72.051783,191,38.102624
85.400305,400,38.367077
86.979684,400,38.641183
85.822352,400,39.195014
84.791729,400,39.463955
85.807808,400,39.713981
85.354421,400,39.992646
84.172307,400,40.279835
85.46537,400,40.824748
83.816144,400,41.092767
85.962319,400,41.367567
85.375359,400,41.649536
85.259411,400,41.908793
84.712003,400,42.175983
65.068856,304,42.669414
85.012445,400,42.935013
85.144546,400,43.195611
84.7113,400,43.467089
84.767101,400,43.750536
84.698374,400,44.319967
83.921384,400,44.574622
83.562021,400,44.843229
84.187765,400,45.126704
83.989632,400,45.409125
83.84297,400,45.979561
83.688985,400,46.251981
83.748998,400,46.514863
83.94998,400,46.77526
83.53101,400,47.05552
83.340188,400,47.608304
82.23014,400,47.876557
83.509331,400,48.150402
83.533811,400,48.426826
83.107228,400,48.693023
65.599543,284,48.881381
83.553264,400,49.466993
58.445559,395,49.745116
64.90858,294,49.946285
84.244086,400,50.220392
85.161132,400,50.506557
82.615342,400,51.080893
-26.710407,173,51.211659
83.036029,400,51.484328
82.296723,400,51.7503
82.439075,400,52.019752
83.191344,400,52.286926
81.946864,400,52.86894
83.161306,400,53.129565
82.965991,400,53.394245
82.66057,400,53.670057
82.383658,400,53.962607
82.449649,400,54.521857
82.149547,400,54.789512
82.17671,400,55.076664
82.557666,400,55.354656
81.761287,400,55.629638
82.545321,400,56.192391
82.695866,400,56.466633
81.93004,400,56.726324
82.107386,400,56.995594
82.98724,400,57.27329
59.112304,366,57.822849
67.948278,247,57.993067
82.057846,400,58.267504
73.707046,152,58.378561
82.916784,400,58.652813
82.611811,400,58.912626
83.39813,400,59.474376
82.741244,400,59.741719
82.467216,400,60.00928
83.103601,400,60.293928
82.717689,400,60.567384
82.484248,400,61.132336
82.389756,400,61.405728
82.730881,400,61.674153
82.186933,400,61.954404
83.596993,400,62.235394
82.360044,400,62.787818
83.404744,400,63.058415
81.719619,400,63.32216
81.816444,400,63.589992
83.093177,400,63.855202
82.397713,400,64.133976
82.195896,400,64.694417
-25.590574,106,64.765525
81.751277,400,65.041875
82.577396,400,65.326442
81.748599,400,65.603458
82.419802,400,66.153314
83.18875,400,66.433161
82.137421,400,66.687817
82.712922,400,66.959386
84.016635,400,67.228346
82.811424,400,67.500314
82.544152,400,68.065932
74.530075,134,68.155917
82.679852,400,68.428329
82.158232,400,68.737042
82.374508,400,69.002568
81.808129,400,69.556919
83.671723,400,69.840808
82.189314,400,70.109678
82.408785,400,70.382594
83.265312,400,70.656956
82.398629,400,71.227443
81.861803,400,71.50294
81.991188,400,71.761186
80.774148,400,72.033299
81.800188,400,72.312843
82.620963,400,72.583441
81.720128,400,73.140814
81.022449,400,73.413076
81.232472,400,73.68562
81.012282,400,73.957699
82.137945,400,74.225492
81.09508,400,74.807377
81.268015,400,75.139173
74.804203,129,75.230422
81.206702,400,75.551408
81.889922,400,75.83617
82.851953,400,76.119544
60.461919,345,76.722467
81.562782,400,76.998488
80.955061,400,77.277721
61.418365,336,77.500335
81.463656,400,77.784441
81.019356,400,78.339698
80.297281,400,78.6143
81.528709,400,78.883148
81.717702,400,79.142274
81.103011,400,79.415546
80.975237,400,80.000938
75.162197,122,80.085281
75.063307,116,80.167604
82.051498,400,80.441255
67.550459,229,80.60322
75.298801,119,80.687489
82.093681,400,80.952255
80.821339,400,81.225078
75.126026,121,81.59143
81.052785,400,81.872617
81.228598,400,82.143124
81.438494,400,82.419811
81.831195,400,82.683093
81.327364,400,82.977895
