#{"t_start": 1780189488.8697336, "env_id": "None"}
r,l,t
-30.212246,168,0.078412
-11.74402,400,0.241548
-12.615849,400,0.382529
-11.471863,400,3.7414
-11.624344,400,7.461333
-12.378327,400,11.389504
-11.261643,400,15.34917
-11.654133,400,19.376234
-32.938546,263,22.020679
-12.299328,400,26.003481
-37.322705,387,29.794024
-11.306717,400,33.757441
-10.731782,400,37.631398
-11.128062,400,41.526633
-11.906822,400,46.941278
-11.018085,400,51.432935
-11.67452,400,55.402477
-10.185751,400,59.908679
-10.90468,400,64.416773
-10.757578,400,68.519976
-10.848286,400,72.980611
-10.287733,400,76.945735
-11.380264,400,81.167637
-11.110437,400,85.260289
-11.07786,400,89.527865
-11.531384,400,93.738841
-11.112569,400,100.013442
-11.386368,400,104.349554
-9.637319,400,110.34724
-10.670828,400,114.996648
-9.763747,400,119.533459
-14.261853,400,124.304502
91.9279,400,128.797402
92.283366,400,133.193277
69.554386,283,136.256774
72.901037,195,138.358214
89.719988,400,142.711131
63.656271,378,147.006433
62.533293,392,151.543869
86.797464,400,156.492924
66.632053,277,160.01566
67.435148,268,163.439498
73.459734,173,165.652159
84.402046,400,170.765969
79.644952,400,175.815885
74.331111,400,180.952175
81.2175,400,186.223409
81.566162,400,191.250757
82.306493,400,196.257081
85.262661,400,201.348809
90.511956,400,206.457055
90.313543,400,211.596524
91.402552,400,216.55348
-26.832145,84,217.60969
92.752756,400,222.306223
90.344289,400,226.890603
-15.371987,400,231.323033
-16.121809,400,235.581473
-32.648136,182,237.515497
-15.413908,400,241.705794
88.896199,400,245.973488
88.266271,400,250.164502
-28.117005,99,251.231118
-28.4592,108,252.364482
-26.607601,55,253.016992
-29.281257,129,254.403055
-12.866131,400,258.674559
-12.797797,400,262.899949
-14.033384,400,267.247564
-13.435348,400,271.589846
-13.21273,400,275.794801
-12.293428,400,280.00513
-32.955427,270,282.942736
-32.316768,207,285.247232
-34.202859,195,287.38972
-31.910866,199,289.618611
-9.351741,400,294.14556
-11.090836,400,299.03504
-9.856367,400,304.088603
-12.403622,400,309.25343
-30.137364,400,314.454612
-27.983449,400,319.659538
-27.485845,400,324.815068
-25.865606,46,325.420108
-26.486912,49,326.12986
-26.78809,56,326.896304
-26.258812,56,327.604314
-25.185371,400,332.729647
-46.948903,368,337.492763
-42.843313,293,341.24624
-32.124005,189,343.637735
-26.421388,43,344.238794
-43.546771,281,347.954598
-22.758588,400,353.446159
-27.725731,51,354.112234
-24.736274,400,359.617462
-22.400539,400,365.013364
-20.328153,400,370.504134
86.623045,400,375.962532
-15.133791,400,381.204165
-17.926077,400,385.953795
-19.625631,400,390.368628
-14.688772,400,394.677094
-12.893794,400,398.943823
-11.285929,400,403.158473
-23.122277,400,407.478382
-29.300531,400,411.825747
-29.208433,400,416.105586
-27.955699,400,420.303248
71.713219,222,422.69166
70.335927,260,425.613256
69.29983,327,429.197541
90.109585,400,433.686323
-16.338764,400,438.22737
85.858461,400,442.872301
-12.797606,400,447.940845
72.915348,225,450.926142
-13.693435,400,455.968
-12.357781,400,461.014722
-15.698613,400,466.097853
-11.513227,400,471.22682
-10.637451,400,476.363639
-17.020522,400,482.2272
-15.641463,400,487.875882
-11.83194,400,493.368829
88.098271,400,498.806026
-7.029917,400,504.389989
-8.950669,400,509.938862
-10.166144,400,515.466732
83.564419,400,520.981443
82.755124,400,526.457072
90.329614,400,531.60916
89.970055,400,536.559071
71.400327,247,539.551165
91.669489,400,544.310966
86.309755,400,548.892853
83.949604,400,553.367269
83.735707,400,557.825885
84.715338,400,562.387435
85.742185,400,566.83678
85.341945,400,571.361451
84.821388,400,575.771663
85.510868,400,580.262676
86.801267,400,584.896989
90.977938,400,589.70341
90.824929,400,594.608613
91.386673,400,599.720434
85.405268,400,605.253893
84.815197,400,610.808302
82.234714,400,616.422977
81.63765,400,622.023388
88.974401,400,627.632818
88.386928,400,633.162677
90.836953,400,638.644111
90.529657,400,644.133535
89.896934,400,650.531005
88.951299,400,656.062255
86.956079,400,662.240628
86.025841,400,668.194456
84.877129,400,673.91553
85.556468,400,679.423279
85.383246,400,684.939742
84.676879,400,690.573651
84.825359,400,695.93764
84.467692,400,700.923367
87.785777,400,705.834536
87.26279,400,710.572699
86.447625,400,715.137476
87.03124,400,719.963204
81.486863,400,724.806438
90.125967,400,729.639574
87.366816,400,734.398728
87.876942,400,739.187747
87.123762,400,746.109499
88.958891,400,751.722999
89.255208,400,757.522439
88.331087,400,763.061166
90.412754,400,768.665742
91.735306,400,774.127117
88.082895,400,779.461492
88.555843,400,785.038525
87.962453,400,790.596331
89.14811,400,796.206444
86.97391,400,801.840995
87.281851,400,807.855749
87.297591,400,813.421162
85.859779,400,818.830159
85.472817,400,824.431442
86.055815,400,829.850503
85.711423,400,835.120368
86.651769,400,840.345972
85.302567,400,845.588042
87.898357,400,850.361851
86.11842,400,855.371171
90.622017,400,860.109626
88.425849,400,864.987851
89.017114,400,869.781169
86.439234,400,874.285042
93.913114,400,878.798998
90.138064,400,883.252071
90.075593,400,887.778333
92.882154,400,892.394828
90.559708,400,897.1527
90.431433,400,902.357786
90.455513,400,907.97822
92.443489,400,913.328107
92.027885,400,918.558177
91.810799,400,923.860271
91.722186,400,929.066857
91.071761,400,934.475663
92.319561,400,939.701994
91.505904,400,944.999852
91.211607,400,950.482382
90.184246,400,955.935278
90.292227,400,961.389312
91.099499,400,966.600531
90.365699,400,971.871147
89.389406,400,977.188012
