#{"t_start": 1780270106.952209, "env_id": "None"}
r,l,t
-8.42968,700,1.727409
-15.561766,700,2.284632
-10.039524,700,3.305894
-16.126715,700,3.854235
-14.945487,700,4.402252
-11.480431,700,5.47409
-14.29863,700,6.106688
-23.564384,678,6.792947
-6.307393,700,7.833442
-17.068834,700,8.420604
-12.288823,700,9.01857
1.687009,700,10.020534
2.334759,700,10.686094
-17.764599,700,11.28586
-17.844799,700,12.206396
-20.427183,442,12.671396
-16.287599,700,13.216707
-13.78892,700,14.185691
-40.217618,526,14.677771
140.572069,60,14.734153
-17.331748,700,15.369162
-7.592333,700,15.990165
-39.721148,526,16.815925
140.547149,60,16.87037
1.766567,700,17.564088
-16.578462,700,18.137619
-42.507231,636,19.054886
-21.875475,700,19.634624
-20.248554,700,20.206087
-16.066615,700,21.168566
75.253507,515,21.666389
140.517245,65,21.719531
-9.198262,700,22.354611
-22.078339,700,23.300659
-20.959221,700,23.884884
-7.043904,700,24.490404
-9.7477,700,25.486398
-14.079825,700,26.040806
0.511835,700,26.740666
-11.879026,700,27.65942
1.663936,700,28.472952
-16.290221,700,29.166874
137.563844,222,29.722429
-24.309321,170,29.901675
-24.592064,655,30.530411
-24.334796,180,30.7652
140.46812,62,30.813409
-24.715226,329,31.148636
-13.931884,700,32.128785
72.105888,696,33.157013
-7.747549,700,33.805205
-36.083721,696,34.875486
74.148881,575,35.471356
-5.714103,700,36.125065
-23.310554,297,36.477144
-25.370542,335,37.288647
0.817582,700,37.945369
129.487204,652,38.459696
0.672223,700,39.544185
129.635369,644,40.044479
137.70279,217,40.210201
-24.321542,46,40.28238
-11.581118,700,41.003675
-5.508172,700,41.94838
-9.676394,700,42.594679
-12.307927,700,43.196855
0.505964,700,44.206611
-25.821143,419,44.63887
-17.107887,700,45.281693
-14.728416,700,46.24458
139.985316,92,46.334125
-15.794057,700,47.004432
-5.831984,700,47.605641
140.437872,68,47.66022
0.947584,700,48.668675
135.910119,331,48.924139
1.167444,700,49.650409
-13.709928,700,50.674998
-24.951677,372,51.006278
137.036641,255,51.248042
-25.339895,385,51.620267
-22.381117,319,51.995605
140.577465,60,52.058121
-24.899516,371,52.43645
-24.546905,152,53.073096
137.911516,199,53.232152
140.465034,63,53.288673
-22.563343,324,53.640069
-15.220409,700,54.22978
74.378682,93,54.31665
73.267284,134,54.429857
-10.40255,700,55.471351
-21.789771,598,56.042831
-22.517066,276,56.38185
140.50602,58,56.43269
-12.656145,700,57.008418
-12.855651,700,58.086405
-22.65078,226,58.383727
-22.167276,464,58.912473
138.450867,173,59.071996
-8.674031,700,59.777848
-12.79276,700,60.754551
-24.041337,653,61.376082
-23.577237,234,61.707502
-25.56246,346,62.110851
-11.57845,700,63.122273
140.513527,64,63.183413
-9.238402,700,63.792506
102.85599,700,64.493415
138.852675,149,64.930554
143.577088,675,65.595855
76.862957,668,66.210801
-2.885273,700,67.213818
-3.68744,700,67.868
-9.448248,700,68.489676
1.602821,700,69.511083
-9.058679,700,70.091953
2.153064,700,70.77578
102.621685,700,71.738048
140.445323,65,71.790832
98.428736,700,72.454518
138.556161,161,72.574054
-5.959752,700,73.210862
-9.756685,700,74.129439
140.488739,60,74.181856
98.291366,700,74.917027
139.18796,134,75.030132
-2.460178,700,76.04289
99.507076,700,76.703485
140.477406,62,76.756037
-2.914307,700,77.423152
2.421541,700,78.42571
0.651485,700,79.108692
138.166983,210,79.282695
-5.446871,700,79.9406
-9.443728,700,80.804798
140.510813,59,80.844025
140.571994,60,80.907282
102.161027,700,81.60202
99.30205,700,82.310773
-2.622104,700,83.299153
-10.348445,700,83.874352
-7.564735,700,84.429802
140.578212,60,84.468799
102.765494,700,85.474986
100.024616,700,86.158708
-5.375644,700,87.109602
100.969272,700,87.742447
137.881945,207,87.903933
0.784833,700,88.602101
97.749411,700,89.61707
128.833284,684,90.133598
98.037577,700,90.768669
76.537834,541,91.626797
132.542882,486,92.033276
0.668604,700,92.703443
-2.26638,700,93.728948
140.566767,61,93.796288
140.553878,60,93.85684
140.459956,63,93.921358
-1.513727,700,94.679673
-1.37306,700,95.374126
100.710655,700,96.399044
-23.077739,215,96.702452
137.799263,213,96.911512
145.616347,567,97.44625
-1.568126,700,98.12807
140.530411,65,98.198097
77.321215,507,99.112638
140.451159,68,99.179139
-21.340546,282,99.509927
102.377628,700,100.139984
140.574957,64,100.19372
101.9383,700,101.269073
139.033631,142,101.398427
0.889422,700,102.107279
140.521891,61,102.169033
136.967412,260,102.398724
-25.666228,263,102.642352
140.561474,61,102.699378
137.173896,257,102.913989
1.348494,700,104.012408
139.434138,120,104.119951
140.33763,70,104.186181
102.681847,700,104.886263
140.460586,63,104.947837
139.24,144,105.082543
1.141768,700,106.283174
-29.088716,450,106.783263
140.497401,62,106.844015
-23.861769,165,107.063956
0.94329,700,107.83797
-28.573724,420,109.177336
140.566762,62,109.27291
1.739391,700,110.781594
143.138419,671,111.871525
138.967731,161,112.159217
-2.010379,700,114.233931
-26.228175,297,114.842818
-27.935809,370,115.379221
-27.517702,362,115.961652
-24.086705,332,116.450103
74.397097,632,117.89082
-1.50845,700,118.995386
77.097452,501,119.827579
-1.941957,700,121.54239
-1.651841,700,122.672869
139.740987,110,122.834132
144.158269,615,123.63442
75.801809,504,124.715164
-1.192456,700,125.683371
-1.967684,700,126.586348
140.511312,65,126.663726
-0.787998,700,127.978269
139.45616,124,128.097799
140.527097,64,128.162423
139.817141,108,128.266296
1.014121,700,129.14277
-0.048965,700,130.020635
1.683777,700,131.619072
101.845774,700,132.427813
-21.610348,290,132.851853
140.530706,61,132.913739
2.088302,700,134.244826
139.204475,138,134.434172
139.287959,139,134.588967
1.216277,700,135.389266
-24.215256,263,135.755965
144.352301,624,136.994444
78.089847,492,137.600787
2.182529,700,138.557273
0.368975,700,139.421362
2.564718,700,140.816278
101.166081,700,141.691647
2.621541,700,142.583283
1.10317,700,143.931175
3.035809,700,144.719374
140.103587,89,144.804103
102.303573,700,146.061643
2.124693,700,146.988142
-23.157537,117,147.179343
106.150827,700,148.245444
-23.247461,237,148.559537
145.465414,551,149.83774
146.388319,504,150.373788
140.456378,66,150.477327
83.888349,616,151.350999
140.465093,65,151.412977
140.539342,63,151.483775
143.910697,641,152.724232
139.757289,105,152.881907
139.917246,94,153.006903
1.809173,700,153.852687
146.649058,494,154.476221
102.652535,700,155.892542
109.210451,700,156.98569
143.994415,635,157.756452
-22.532526,209,158.068855
2.274773,700,159.403635
