#{"t_start": 1780270377.9925363, "env_id": "None"}
r,l,t
-30.420513,95,2.134064
-40.696798,696,15.412808
50.99552,643,28.948377
140.062465,114,31.398131
140.396637,87,33.123898
-50.310245,513,43.558888
-28.112437,137,46.404278
-23.704562,136,49.075348
-36.590259,211,53.255835
-18.229949,700,66.278382
-47.289089,447,74.499364
-50.72761,475,83.105396
-6.634064,700,96.136632
-5.839923,700,109.21193
-51.498364,617,122.750592
137.234873,299,129.49475
-16.192949,700,145.086526
-16.257823,700,159.091854
-24.069409,700,174.192311
-33.370706,640,187.132174
-26.409752,302,193.33224
-25.595088,307,199.362508
-9.53,700,211.279489
-28.628345,433,219.044707
-12.679537,700,231.879777
85.168733,700,244.704538
-37.106896,381,252.045109
-29.017953,511,261.902822
-15.161247,700,276.236637
-21.566686,700,290.701712
140.482913,84,292.483648
140.466401,82,294.137958
-11.597737,700,309.607746
139.145092,159,312.830751
-14.214246,700,328.147352
100.917884,700,341.844106
-21.548219,174,345.097325
99.236529,700,357.733246
-7.756728,700,369.517914
135.921528,414,376.860542
-10.815485,700,389.580047
-13.474638,700,402.16039
-18.158249,700,416.607556
-18.295466,700,430.758469
-9.57999,700,445.898578
139.711092,118,448.23265
-11.274919,700,461.779746
-26.977373,60,463.083764
-13.139476,700,478.03438
140.496958,78,479.730151
100.312001,700,494.477211
140.481815,76,496.030411
-39.804117,432,505.068634
140.600519,67,506.311435
-8.629718,700,519.053917
-7.26222,700,531.095731
-10.672331,700,543.625253
139.776662,188,547.041175
-11.815639,700,559.350241
-23.659561,195,562.860535
-10.818903,700,577.052908
-12.169979,700,591.606823
-13.361026,700,605.62289
-13.563553,700,620.096871
140.515597,131,622.879155
140.480464,130,625.880116
-13.662621,700,641.381554
-14.124807,700,656.020554
-6.381288,700,669.444455
-6.221408,700,682.324032
-5.742363,700,694.732324
140.762115,116,696.824643
140.568926,66,698.121603
-28.623143,147,700.716197
140.628225,120,702.936473
-13.407328,700,716.029901
