#{"t_start": 1780272732.6701624, "env_id": "None"}
r,l,t
-3.696763,700,8.856079
74.925165,67,9.790085
75.028198,68,10.690352
-26.579328,43,11.183189
74.955583,68,12.089319
-26.554815,44,12.789381
75.054383,67,13.693675
-24.283169,43,14.335613
-24.325883,44,15.014356
-26.672248,44,15.705062
-24.346444,43,16.290898
-26.538104,43,16.885706
74.992655,68,17.804791
-26.500335,43,18.291444
-24.281143,44,19.07097
-26.915494,42,19.633939
-24.377299,44,20.307188
75.03019,68,21.210378
74.997409,68,22.134645
-24.286836,43,22.941981
-26.770487,43,23.547042
74.939234,67,24.321721
-24.344057,44,25.099568
-24.325255,44,25.935262
-26.583832,43,26.531465
-26.571157,43,27.085603
-24.333249,44,27.871125
-26.70449,43,28.642758
-26.732799,43,29.21273
-26.677835,44,29.820064
-26.750111,43,30.491361
-26.729145,44,31.273982
-26.746428,43,32.077236
-24.304563,44,32.860134
-24.352292,44,33.366435
-24.309262,44,34.009376
-24.253495,43,34.471001
-24.314832,44,34.964348
-26.576783,44,35.657678
-26.585213,44,36.13572
-26.691623,43,36.793023
74.957485,67,37.719395
-26.636438,44,38.414184
74.99132,67,39.323498
-24.32191,44,39.919059
-26.711917,44,40.570047
-26.571195,43,41.19819
-26.678651,43,41.805984
-26.535079,43,42.430277
-26.752315,43,43.161934
-26.570823,43,43.778041
-26.748394,44,44.428416
-26.739123,44,44.978626
-26.708495,44,45.63957
-24.290757,43,46.280812
-24.287183,43,46.75554
-26.690431,43,47.377286
-26.617146,43,47.92911
-24.324855,44,48.48704
-24.285983,43,49.059729
-24.333411,44,49.477868
-24.310793,43,50.061011
-26.707945,43,50.699952
-26.636542,44,51.412368
-24.294688,43,52.030989
-26.697127,44,52.585279
74.978096,68,53.334465
-24.312643,43,53.911472
74.985527,68,54.824851
-26.529736,44,55.464557
-26.598426,44,56.148762
-26.601621,43,56.837594
-26.666503,44,57.493297
74.991155,68,58.195738
-24.304583,44,58.735203
74.946425,67,59.482348
-26.706881,43,60.295754
-24.350279,44,60.916159
-26.669118,43,61.572638
-26.738222,43,62.370199
95.391794,700,70.567888
-25.176014,33,70.841956
-38.205385,340,74.48129
-25.618398,700,82.282478
130.12346,613,89.248839
73.54381,662,96.559772
-21.639097,156,98.461187
-28.454302,506,104.587365
-16.162288,700,113.399744
0.609639,700,122.695526
137.546132,309,126.367792
138.562423,210,129.140301
-6.174243,700,137.976889
-6.686011,700,147.247147
-22.498314,250,150.307335
93.659598,700,159.415623
138.28104,189,162.052055
-20.374757,700,171.221415
-3.690775,700,179.834027
84.552796,700,188.331731
133.822508,341,192.022925
-5.104357,700,199.6335
139.599517,122,201.165495
-12.570515,700,208.720657
140.293491,82,209.702756
-14.833047,700,217.882921
-16.977564,700,225.383297
-6.39326,700,233.242867
-11.925879,700,241.263663
-12.791771,700,249.920917
-16.640169,700,258.809141
-9.864237,700,267.555678
140.607518,63,268.52938
-5.687311,700,278.213215
-11.840586,700,287.594261
-26.006255,700,297.114899
-34.352826,159,299.290734
-41.117129,554,306.190326
86.517504,700,314.616033
140.636879,63,315.410461
-14.075252,700,323.443873
-12.253947,700,331.451674
-21.423887,700,339.152489
-47.016108,527,345.368018
-6.505209,700,353.269784
-8.349851,700,361.016825
-4.738271,700,368.617197
88.040256,700,376.081156
-7.033588,700,384.641104
-12.188863,700,393.409894
140.538614,71,394.495316
-14.019799,700,403.359454
-8.117651,700,412.17161
140.607561,69,412.962139
-9.421417,700,421.608674
-15.896816,700,430.914479
140.563986,73,431.727902
-9.646213,700,441.118342
-5.754634,700,449.804029
-17.455612,700,458.561861
140.609202,67,459.268711
98.330049,700,467.024734
138.347946,190,469.189707
-0.74831,700,477.254901
-3.945105,700,485.546263
-13.549837,700,493.421184
102.230623,700,501.2608
-13.473766,700,509.096223
85.854392,700,516.58633
144.955212,580,523.199452
-13.085211,700,531.01787
-5.122114,700,539.036493
83.1721,700,547.826292
140.668772,65,548.752509
85.526488,700,558.400643
